CID,Name,SMILES,M01_ET+LGBM,M02_ET+LGBM+PLS,M03_RF+LGBM,M04_RF+ET+LGBM,M05_LGBM_Solo,M06_RF+LGBM+PLS,M07_LGBM+PLS,M08_RF+LGBM+SVM,M09_ET+LGBM+SVM,M10_RF+ET,CONSENSUS_MEAN,UNCERTAINTY_STD
126941,Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,7.576996139020938,7.585316365106629,7.4859432785832345,7.482535698561646,7.636176246232251,7.508249853931117,7.607854034433907,7.545586583580255,7.6149131106014485,7.3886842527270105,7.543225556277844,0.07276281448555535
336805,CID 336805,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC.C(=O)C(C(C(C(C(=O)O)O)O)O)O,7.417393607256151,7.378244980032568,7.65937690294127,7.662350280270132,7.349272887364624,7.61704939391709,7.3083243463985825,7.583576464399653,7.396151036084592,7.805822901456728,7.517756280012138,0.15959633954205074
54949,Trimetrexate Glucuronate,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC.C(=O)[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O,7.417393607256151,7.378244980032568,7.65937690294127,7.662350280270132,7.349272887364624,7.61704939391709,7.3083243463985825,7.583576464399653,7.396151036084592,7.805822901456728,7.517756280012138,0.15959633954205074
6099,Methylene Blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],7.434044425736915,7.114752032794463,7.595656746247659,7.601326106202134,7.430191124781665,7.341248159054801,7.0503267911009075,7.0358174404546485,6.7311469459080575,7.679522172468593,7.301403194474984,0.29135657087330424
67462786,Erdafitinib,CC(C)NCCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC,7.346684955953006,6.820717961742812,7.428913912527101,7.450744008140552,7.510066536443815,7.015470229247594,6.856214469027122,6.982225817186036,6.78570846245583,7.439872803810381,7.163661915653424,0.28150025461549544
11525740,Pazopanib Hydrochloride,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N.Cl,7.07407116163572,6.783083859129926,7.206284596937269,7.2097745275800715,7.033480102368558,6.97428277471552,6.71765017496891,6.778013664316581,6.539133741390077,7.28028223394655,6.959605683698918,0.23334916272917783
77082,Bendamustine Hydrochloride,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl,7.045429543522658,6.919552146120842,6.997496759220538,6.983898784829571,6.948654111350875,6.911336348184319,6.838341376987965,6.797135440887024,6.739270982842799,6.956746480961881,6.913786197490848,0.09061384496950954
39147,Nadolol,CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O,7.1610669819570845,6.962511734119003,7.019540120086884,6.9946716110881955,7.027022864347526,6.887490611497287,6.835453275777535,6.590788137426944,6.500649236420294,6.918146944508902,6.889734151722965,0.1923908148059335
11057,Gentian Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],7.022223316744434,6.5275897712545,7.13281204611916,7.123433009578838,6.8796269596402,6.747051156571786,6.358778689564695,6.490728880044524,6.177516925047088,7.205440320675115,6.766520107524033,0.3433788299138372
221493,Cholic Acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,6.764687733208623,6.795589418096454,6.858896332985348,6.83684370835236,6.500188591093691,6.88401019519609,6.629479518835072,6.630872963294355,6.464355395902383,6.939319070439201,6.7304242927403575,0.15632585915096242
222528,Deoxycholic Acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,6.794398994608607,6.764087530459773,6.863765191941699,6.836370813724781,6.500188591093691,6.844699678512437,6.564810104952471,6.643367222575727,6.490204607606331,6.93053221010412,6.723242494557963,0.1524918571583475
13810,Fentanyl Citrate,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,6.998248762201381,6.780856276229102,6.852823545334132,6.818752266032322,6.773921513484359,6.7076195268018095,6.593499541813879,6.503152119034802,6.435504933523045,6.7623507624637185,6.722672924691855,0.16039505106613258
2708,Chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,6.8783376492395005,6.857834819320498,6.802207592226029,6.770519713739467,6.628409302920074,6.803347832602714,6.687964364446849,6.551046599752095,6.476537175911254,6.763672676127719,6.72198777262862,0.12626510429437646
