Mode,Fold,Selected_Model,R2_outer,MAE_outer,N_train,N_test,N_features_total,N_features_selected,N_predictions_clipped,Time_s
morgan,0,LGBM+XGB+SVM,0.8015539232432614,0.48025164773185275,604,152,2048,2048,0,530.2694835662842
morgan,1,XGB+SVM,0.680956364521065,0.4977810504750878,605,151,2048,2048,0,526.0057892799377
morgan,2,RF+SVM,0.6657855538197714,0.5682713112101314,605,151,2048,2048,0,584.3521349430084
morgan,3,RF+XGB+SVM,0.8005720505114579,0.44005346391999883,605,151,2048,2048,0,597.4086775779724
morgan,4,LGBM+SVM,0.7195931174420338,0.44631334389753596,605,151,2048,2048,0,586.2628273963928
morgan,5,XGB+SVM+kNN,0.782026812587597,0.4657136665673554,604,152,2048,2048,0,516.474556684494
morgan,6,RF+LGBM+SVM,0.783071265645986,0.477173964612019,605,151,2048,2048,0,533.9064471721649
morgan,7,SVM,0.7383854801095073,0.5075014925894696,605,151,2048,2048,0,537.1127278804779
morgan,8,XGB+SVM+kNN,0.7675401087511566,0.4528177547699444,605,151,2048,2048,0,546.9107511043549
morgan,9,SVM,0.6289339173391404,0.5354674697234173,605,151,2048,2048,0,545.6003515720367
morgan,10,RF+SVM+kNN,0.7396687388695593,0.522143935478781,604,152,2048,2048,0,562.2879359722137
morgan,11,RF+XGB+SVM,0.7906342439547899,0.43897410655769703,605,151,2048,2048,0,549.0299878120422
morgan,12,RF+ET+SVM,0.7449633758323125,0.45080980639127405,605,151,2048,2048,0,614.5668733119965
morgan,13,LGBM+XGB+SVM,0.7729595214433544,0.43137417152928265,605,151,2048,2048,0,517.1478772163391
morgan,14,RF+SVM+kNN,0.6934737619319182,0.5307534034804373,605,151,2048,2048,0,567.8328914642334
rdkit2d,0,RF+ET+SVM,0.7213990804049584,0.5304345217564839,604,152,217,179,0,341.2762508392334
rdkit2d,1,ET+LGBM+SVM,0.6445543465309715,0.5046835937152248,605,151,217,179,0,327.41141748428345
rdkit2d,2,ET+LGBM,0.7028514077692579,0.5216784538797612,605,151,217,182,0,333.32482719421387
rdkit2d,3,ET+LGBM+SVM,0.7528724911841687,0.49781302082713913,605,151,217,183,0,312.5589029788971
rdkit2d,4,RF+ET+SVM,0.616574149657937,0.5169596091431142,605,151,217,182,0,358.0350036621094
rdkit2d,5,RF+ET,0.7347934811389552,0.5157193411070574,604,152,217,181,0,349.4126121997833
rdkit2d,6,RF+ET+SVM,0.6889572388394396,0.5371986661358543,605,151,217,183,0,336.61303639411926
rdkit2d,7,RF+ET+SVM,0.6732028491351496,0.5459292737093283,605,151,217,181,0,335.3829882144928
rdkit2d,8,RF+ET+SVM,0.7583323866230129,0.4477399198469547,605,151,217,181,0,347.49686765670776
rdkit2d,9,LGBM,0.494273059100933,0.6197102539133916,605,151,217,180,0,289.28681349754333
rdkit2d,10,ET+LGBM+SVM,0.6912825329740538,0.5490824790389524,604,152,217,182,0,334.1195316314697
rdkit2d,11,ET+LGBM+SVM,0.7513211067382263,0.49730055473716656,605,151,217,177,0,314.0789968967438
rdkit2d,12,ET+XGB+SVM,0.6490776153144955,0.5127929313334646,605,151,217,180,0,331.72013211250305
rdkit2d,13,ET+LGBM+SVM,0.6928809494562823,0.4885324506679608,605,151,217,184,0,316.6026666164398
rdkit2d,14,RF+LGBM+SVM,0.6249166109996771,0.6091285803271173,605,151,217,180,0,352.0147225856781
rdkit2d_fp,0,RF+ET+LGBM,0.7824104087011183,0.4565522035960101,604,152,2265,1265,0,776.2425339221954
rdkit2d_fp,1,ET+SVM+kNN,0.6734903589536654,0.5010830116498027,605,151,2265,1266,0,711.8970334529877
rdkit2d_fp,2,ET+LGBM+XGB,0.7412257432236222,0.507703543847157,605,151,2265,1250,0,739.1819965839386
rdkit2d_fp,3,ET+LGBM+SVM,0.7921182863608953,0.45075711480277963,605,151,2265,1247,0,724.9474883079529
rdkit2d_fp,4,RF+XGB+SVM,0.6804555289515378,0.462026839727664,605,151,2265,1275,0,716.2028567790985
rdkit2d_fp,5,ET+LGBM+SVM,0.7893399845169428,0.4663998078008283,604,152,2265,1265,0,710.9522705078125
rdkit2d_fp,6,RF+ET+SVM,0.7418236589188416,0.498981749617906,605,151,2265,1259,0,783.2627990245819
rdkit2d_fp,7,ET+SVM+kNN,0.7608780305331331,0.4807157601681427,605,151,2265,1244,0,706.0966610908508
