Name,CID,SMILES,ML_pIC50,Docking_Score,Ligand_Efficiency,Energy_Gap_P1_Pn,Max_RMSD_UB,MW,LogP,Rotatable_Bonds,Heavy_Atoms,T_prep_sec,T_dock_sec,T_total_sec,Agreement,Docking_Pose2,Docking_Pose3,Type,hERG_Blocker_Prob,Caco2_Permeability,hERG_Pass,Caco2_Pass,ADMET_Profile
Pralatrexate,148121,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,7.2222,-9.5,-0.2714,0.452,-0.985,477.48,0.98,10,35,0.186,41.319,41.505,VALIDATED (+),-9.39,-9.05,[TOP_ML],0.31166666666666665,-5.408413631666667,True,False,Parenteral Candidate (Low Caco-2)
Bisacodyl,2391,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,5.3504,-8.76,-0.3246,0.728,-1.184,361.4,4.11,5,27,0.098,10.521,10.619,ML FALSE NEGATIVE,-8.36,-8.04,[REFERENCE],0.64,-4.62982742625,False,True,Flagged: High hERG Cardiotoxicity Risk
Methotrexate,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,7.5652,-8.71,-0.2638,0.271,-1.037,454.45,0.27,9,33,0.301,33.168,33.47,VALIDATED (+),-8.44,-8.44,[TOP_ML],0.4,-5.865263744266665,True,False,Parenteral Candidate (Low Caco-2)
Fentanyl Citrate,13810,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,6.872,-8.66,-0.3465,0.197,-0.868,336.48,4.14,6,25,0.117,9.31,9.427,VALIDATED (+),-8.53,-8.46,[TOP_ML],0.87,-5.354435675499996,False,False,Flagged: High hERG Cardiotoxicity Risk
Triamterene,5546,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,6.6045,-8.04,-0.4234,0.442,-0.19,253.27,0.83,1,19,0.034,4.504,4.538,VALIDATED (+),-7.87,-7.6,[REFERENCE],0.8,-4.659019858750001,False,True,Flagged: High hERG Cardiotoxicity Risk
Finerenone,60150535,CCOC1=NC=C(C2=C1[C@@H](C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C,5.7838,-7.95,-0.2838,0.554,-0.807,378.43,2.99,5,28,0.146,9.46,9.606,Neutral,-7.6,-7.39,[REFERENCE],0.67,-4.964181514500002,False,True,Flagged: High hERG Cardiotoxicity Risk
Etodolac,3308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,5.4981,-7.58,-0.3611,0.308,-0.596,287.36,3.38,4,21,0.058,5.015,5.073,Neutral,-7.56,-7.28,[REFERENCE],0.57,-5.031210428250001,False,True,Flagged: High hERG Cardiotoxicity Risk
Pyrimethamine,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,6.318,-7.36,-0.4326,0.404,-0.451,248.72,2.52,2,17,0.031,3.994,4.025,Neutral,-7.05,-6.95,[REFERENCE],0.125,-4.418514601000005,True,True,ADMET-Compliant (Oral)
Methylene Blue,6099,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],6.9109,-7.33,-0.3664,0.25,-0.063,284.41,2.5,1,20,0.07,2.766,2.836,ML FALSE POSITIVE,-7.21,-7.08,[TOP_ML],0.46,-4.614427637366665,True,True,ADMET-Compliant (Oral)
Trimethoprim,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,5.638,-7.27,-0.3464,0.434,-0.084,290.32,1.26,5,21,0.066,7.611,7.677,VALIDATED (-),-7.23,-6.84,[REFERENCE],0.14,-4.765227629000002,True,True,ADMET-Compliant (Oral)
Trimethoprim Hydrochloride,173769,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N.Cl,5.638,-7.27,-0.3464,0.434,-0.084,290.32,1.26,5,21,0.078,7.569,7.647,VALIDATED (-),-7.23,-6.84,[REFERENCE],0.14,-4.765227629000002,True,True,ADMET-Compliant (Oral)
Bendamustine Hydrochloride,77082,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl,6.9281,-6.56,-0.2853,0.053,-0.825,358.27,3.26,9,23,0.094,11.507,11.601,ML FALSE POSITIVE,-6.55,-6.51,[TOP_ML],0.6841666666666667,-4.894807367657144,False,True,Flagged: High hERG Cardiotoxicity Risk
Chlorambucil,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,6.8381,-6.43,-0.3386,0.245,-0.701,304.22,3.38,9,19,0.058,9.167,9.225,ML FALSE POSITIVE,-6.34,-6.19,[TOP_ML],0.57,-4.962403705000001,False,True,Flagged: High hERG Cardiotoxicity Risk
