CID,Name,SMILES,pIC50_pred,LE,BEI,LLE,SEI,Type
126941,Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,7.5544,0.31,16.62,7.29,3.59,[TOP_ML]
336805,CID 336805,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC.C(=O)C(C(C(C(C(=O)O)O)O)O)O,7.3423,0.25,13.03,7.89,2.9,[TOP_ML]
54949,Trimetrexate Glucuronate,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC.C(=O)[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O,7.3423,0.25,13.03,7.89,2.9,[TOP_ML]
148121,Pralatrexate,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,7.1677,0.28,15.01,6.19,3.46,[TOP_ML]
135398658,Folic Acid,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,7.1157,0.3,16.12,7.16,3.34,[TOP_ML]
67307512,Neratinib Maleate,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C.C(=C\C(=O)O)\C(=O)O,6.9965,0.2,10.39,1.35,3.74,[TOP_ML]
77082,Bendamustine Hydrochloride,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl,6.9342,0.4,17.57,3.25,11.88,[TOP_ML]
6099,Methylene Blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],6.9144,0.45,21.62,7.41,36.13,[TOP_ML]
13810,Fentanyl Citrate,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,6.8628,0.25,12.98,3.97,4.41,[TOP_ML]
11518241,Trifarotene,CC(C)(C)C1=C(C=CC(=C1)C2=C(C=CC(=C2)C3=CC=C(C=C3)C(=O)O)OCCO)N4CCCC4,6.8399,0.28,14.88,0.85,9.77,[TOP_ML]
5546,Triamterene,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,6.6255,0.48,26.16,5.79,5.11,[REFERENCE]
4993,Pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,6.3226,0.51,25.42,3.8,8.12,[REFERENCE]
358641,Sulfamethoxazole; Trimethoprim,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,6.0387,0.22,11.11,3.42,2.96,[REFERENCE]
60150535,Finerenone,CCOC1=NC=C(C2=C1[C@@H](C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C,5.8204,0.28,15.38,2.83,5.28,[REFERENCE]
5578,Trimethoprim,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,5.6431,0.37,19.44,4.39,5.35,[REFERENCE]
173769,Trimethoprim Hydrochloride,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N.Cl,5.6431,0.35,17.27,3.96,5.35,[REFERENCE]
64936,Trimethoprim sulfate,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N.OS(=O)(=O)O,5.5997,0.16,8.25,3.74,1.96,[REFERENCE]
3308,Etodolac,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,5.477,0.36,19.06,2.09,8.79,[REFERENCE]
2391,Bisacodyl,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,5.3335,0.27,14.76,1.22,8.14,[REFERENCE]
