Mode,Model,times_selected,total_folds,selection_percentage
morgan,LGBM+XGB+SVM,3,25,12.0
morgan,RF+SVM,3,25,12.0
morgan,RF+XGB+SVM,3,25,12.0
morgan,SVM,3,25,12.0
morgan,XGB+SVM+kNN,3,25,12.0
morgan,ET+LGBM+SVM,2,25,8.0
morgan,RF+SVM+kNN,2,25,8.0
morgan,XGB+SVM,2,25,8.0
morgan,ET+XGB+SVM,1,25,4.0
morgan,LGBM+SVM,1,25,4.0
morgan,RF+ET+SVM,1,25,4.0
morgan,RF+LGBM+SVM,1,25,4.0
rdkit2d,RF+ET+SVM,9,25,36.0
rdkit2d,ET+LGBM+SVM,7,25,28.000000000000004
rdkit2d,RF+ET,2,25,8.0
rdkit2d,RF+LGBM+SVM,2,25,8.0
rdkit2d,ET,1,25,4.0
rdkit2d,ET+LGBM+XGB,1,25,4.0
rdkit2d,ET+LGBM+kNN,1,25,4.0
rdkit2d,RF+ET+LGBM,1,25,4.0
rdkit2d,RF+LGBM+XGB,1,25,4.0
rdkit2d3d_fp,ET+LGBM+SVM,12,25,48.0
rdkit2d3d_fp,ET+LGBM+kNN,5,25,20.0
rdkit2d3d_fp,ET+LGBM,4,25,16.0
rdkit2d3d_fp,ET,1,25,4.0
rdkit2d3d_fp,ET+SVM,1,25,4.0
rdkit2d3d_fp,ET+SVM+kNN,1,25,4.0
rdkit2d3d_fp,RF+ET+kNN,1,25,4.0
rdkit2d_fp,ET+LGBM+SVM,5,25,20.0
rdkit2d_fp,ET+LGBM+kNN,4,25,16.0
rdkit2d_fp,ET+SVM+kNN,3,25,12.0
rdkit2d_fp,RF+ET+SVM,3,25,12.0
rdkit2d_fp,ET+LGBM,2,25,8.0
rdkit2d_fp,ET+SVM,2,25,8.0
rdkit2d_fp,ET,1,25,4.0
rdkit2d_fp,ET+LGBM+XGB,1,25,4.0
rdkit2d_fp,ET+XGB+SVM,1,25,4.0
rdkit2d_fp,ET+XGB+kNN,1,25,4.0
rdkit2d_fp,RF+ET+kNN,1,25,4.0
rdkit2d_fp,RF+XGB+SVM,1,25,4.0
