Mode,Fold,Selected_Model,R2_outer,MAE_outer,N_train,N_test,N_features_total,N_features_selected,N_predictions_clipped,Time_s
morgan,0,LGBM+XGB+SVM,0.8015539232432614,0.4802516477318527,604,152,2048,2048,0,530.2694835662842
morgan,1,XGB+SVM,0.680956364521065,0.4977810504750878,605,151,2048,2048,0,526.0057892799377
morgan,2,RF+SVM,0.6657855538197714,0.5682713112101314,605,151,2048,2048,0,584.3521349430084
morgan,3,RF+XGB+SVM,0.8005720505114579,0.4400534639199988,605,151,2048,2048,0,597.4086775779724
morgan,4,LGBM+SVM,0.7195931174420338,0.4463133438975359,605,151,2048,2048,0,586.2628273963928
morgan,5,XGB+SVM+kNN,0.782026812587597,0.4657136665673554,604,152,2048,2048,0,516.474556684494
morgan,6,RF+LGBM+SVM,0.783071265645986,0.477173964612019,605,151,2048,2048,0,533.9064471721649
morgan,7,SVM,0.7383854801095073,0.5075014925894696,605,151,2048,2048,0,537.1127278804779
morgan,8,XGB+SVM+kNN,0.7675401087511566,0.4528177547699444,605,151,2048,2048,0,546.9107511043549
morgan,9,SVM,0.6289339173391404,0.5354674697234173,605,151,2048,2048,0,545.6003515720367
morgan,10,RF+SVM+kNN,0.7396687388695593,0.522143935478781,604,152,2048,2048,0,562.2879359722137
morgan,11,RF+XGB+SVM,0.7906342439547899,0.438974106557697,605,151,2048,2048,0,549.0299878120422
morgan,12,RF+ET+SVM,0.7449633758323125,0.450809806391274,605,151,2048,2048,0,614.5668733119965
morgan,13,LGBM+XGB+SVM,0.7729595214433544,0.4313741715292826,605,151,2048,2048,0,517.1478772163391
morgan,14,RF+SVM+kNN,0.6934737619319182,0.5307534034804373,605,151,2048,2048,0,567.8328914642334
rdkit2d3d_fp,0,ET+LGBM+XGB,0.7920863541562219,0.45250338770478,604,152,2275,1264,0,770.6152305603027
rdkit2d3d_fp,1,ET+LGBM+SVM,0.7011184412406609,0.4808978941719006,605,151,2275,1258,0,754.0135388374329
rdkit2d3d_fp,2,ET+LGBM+kNN,0.7323677604514928,0.522945533959421,605,151,2275,1238,0,760.2451078891754
rdkit2d3d_fp,3,ET+LGBM,0.7977798572252672,0.4387742236755576,605,151,2275,1275,0,742.9315748214722
rdkit2d3d_fp,4,RF+LGBM+SVM,0.6842796470936314,0.4674483610429539,605,151,2275,1287,0,752.1267809867859
rdkit2d3d_fp,5,ET+LGBM+SVM,0.7966375609355064,0.4593965695613859,604,152,2275,1274,0,756.8133294582367
rdkit2d3d_fp,6,ET+LGBM+kNN,0.7840298512226439,0.4670830625597405,605,151,2275,1245,0,755.9117007255554
rdkit2d3d_fp,7,ET+LGBM+SVM,0.7650166154033299,0.4829514064609455,605,151,2275,1260,0,741.4866230487823
rdkit2d3d_fp,8,ET+LGBM,0.7868856197475778,0.4035985270494728,605,151,2275,1264,0,747.7977283000946
rdkit2d3d_fp,9,ET+LGBM,0.5496344740369368,0.5638078449890912,605,151,2275,1242,0,764.9829382896423
rdkit2d3d_fp,10,ET+LGBM+kNN,0.7438611595283577,0.5173877702528487,604,152,2275,1263,0,721.4613287448883
rdkit2d3d_fp,11,ET+LGBM+SVM,0.79007145095451,0.4466762148374866,605,151,2275,1257,0,718.5600097179413
rdkit2d3d_fp,12,ET+SVM+kNN,0.7267574593095417,0.4464424666504106,605,151,2275,1266,0,729.9689702987671
rdkit2d3d_fp,13,ET+LGBM+SVM,0.767231326576914,0.4389439986535395,605,151,2275,1255,0,757.0271527767181
rdkit2d3d_fp,14,ET+LGBM,0.6626311470692587,0.5596034277002595,605,151,2275,1274,0,711.0148770809174
rdkit2d,0,RF+ET+SVM,0.7213990804049584,0.5304345217564839,604,152,217,179,0,368.611798286438
rdkit2d,1,ET+LGBM+SVM,0.6445543465309715,0.5046835937152248,605,151,217,179,0,318.19046115875244
rdkit2d,2,ET+LGBM,0.7028514077692579,0.5216784538797612,605,151,217,182,0,338.323956489563
rdkit2d,3,ET+LGBM+SVM,0.7528724911841687,0.49781302082713913,605,151,217,183,0,331.2738480567932
rdkit2d,4,RF+ET+SVM,0.616574149657937,0.5169596091431142,605,151,217,182,0,346.6712713241577
rdkit2d,5,RF+ET,0.7347934811389552,0.5157193411070574,604,152,217,181,0,331.81311535835266
rdkit2d,6,RF+ET+SVM,0.6889572388394396,0.5371986661358543,605,151,217,183,0,334.73921608924866
rdkit2d,7,RF+ET+SVM,0.6732028491351496,0.5459292737093283,605,151,217,181,0,332.74023151397705
rdkit2d,8,RF+ET+SVM,0.7583323866230129,0.4477399198469547,605,151,217,181,0,358.16217589378357
rdkit2d,9,LGBM,0.494273059100933,0.6197102539133916,605,151,217,180,0,297.9014925956726
rdkit2d,10,ET+LGBM+SVM,0.6912825329740538,0.5490824790389524,604,152,217,182,0,338.3744738101959
rdkit2d,11,ET+LGBM+SVM,0.7513211067382263,0.49730055473716656,605,151,217,177,0,311.78062772750854
rdkit2d,12,ET+XGB+SVM,0.6490776153144955,0.5127929313334646,605,151,217,180,0,330.68946146965027
rdkit2d,13,ET+LGBM+SVM,0.6928809494562823,0.4885324506679608,605,151,217,184,0,330.9171154499054
rdkit2d,14,RF+LGBM+SVM,0.6249166109996771,0.6091285803271173,605,151,217,180,0,336.12336826324463
rdkit2d_fp,0,RF+ET+LGBM,0.7824104087011183,0.4565522035960101,604,152,2265,1265,0,783.913421869278
rdkit2d_fp,1,ET+SVM+kNN,0.6734903589536654,0.5010830116498027,605,151,2265,1266,0,754.365216255188
