Mode,Paper_reference_label,Paper_reference_desc,Paper_R2,Our_R2_mean,Our_R2_std,t_stat,p_value,Significant_p<0.05
morgan,PaperBaseline,"2D/3D/FP, no feature selection",0.75,0.7416544357170167,0.04827069212400619,-0.3145638403976468,0.7558112248608876,False
morgan,PaperSelected,After Permutation Importance selection,0.82,0.7416544357170167,0.04827069212400619,-2.953027589665419,0.006936551661473598,True
morgan,PaperFinal,Data augmentation + DNN ensemble,0.85,0.7416544357170167,0.04827069212400619,-4.083797767923038,0.00042626478758165244,True
rdkit2d,PaperBaseline,"2D/3D/FP, no feature selection",0.75,0.679572309217834,0.06450711735188468,-1.9864261850484368,0.05851946040672182,False
rdkit2d,PaperSelected,After Permutation Importance selection,0.82,0.679572309217834,0.06450711735188468,-3.9607892716285975,0.000581755805766849,True
rdkit2d,PaperFinal,Data augmentation + DNN ensemble,0.85,0.679572309217834,0.06450711735188468,-4.806944880162954,6.784866374746948e-05,True
rdkit2d_fp,PaperBaseline,"2D/3D/FP, no feature selection",0.75,0.7306470905789317,0.05964623529959073,-0.5903367827047653,0.5604830002064878,False
rdkit2d_fp,PaperSelected,After Permutation Importance selection,0.82,0.7306470905789317,0.05964623529959073,-2.725600989767463,0.011792535294868655,True
rdkit2d_fp,PaperFinal,Data augmentation + DNN ensemble,0.85,0.7306470905789317,0.05964623529959073,-3.6407142213657635,0.0012989980632600927,True
rdkit2d3d_fp,PaperBaseline,"2D/3D/FP, no feature selection",0.75,0.7370668795186889,0.059775709239763136,-0.3936544844298118,0.6973117122332227,False
rdkit2d3d_fp,PaperSelected,After Permutation Importance selection,0.82,0.7370668795186889,0.059775709239763136,-2.524293718008906,0.01861757670986869,True
rdkit2d3d_fp,PaperFinal,Data augmentation + DNN ensemble,0.85,0.7370668795186889,0.059775709239763136,-3.437424818114233,0.0021501544486196753,True
