Model,R2_inner_mean,R2_inner_std,MAE_inner_mean,Mode,Fold
LGBM+XGB+SVM,0.7066561322586431,0.06990295252007302,0.5012447799171156,morgan,0
RF+SVM,0.7061824531858375,0.0768048996167235,0.49354982872287884,morgan,0
ET+LGBM+SVM,0.7060064383229375,0.06909092938787251,0.50273830988619,morgan,0
LGBM+SVM,0.7058674362985974,0.06777817123718986,0.5038650780461513,morgan,0
XGB+SVM,0.7056565877698964,0.07368123047033022,0.501426767330126,morgan,0
RF+SVM+kNN,0.7054200281983702,0.07798234598419436,0.49401040156486076,morgan,0
ET+SVM,0.7051891495418948,0.07442030005112917,0.5031808045361963,morgan,0
XGB+SVM+kNN,0.7051548426115953,0.07664331446687256,0.49713464352385905,morgan,0
SVM,0.7049248548918724,0.07267415270378629,0.5048793367860078,morgan,0
ET+XGB+SVM,0.7048128757528299,0.07460994507841914,0.5019595293134305,morgan,0
LGBM+SVM+kNN,0.7037580082713575,0.07127943250419501,0.5003857741537996,morgan,0
RF+XGB+SVM,0.703543741874976,0.07811951169511758,0.4935652012945971,morgan,0
ET+SVM+kNN,0.7034333107630127,0.0765815273018575,0.4998831899767591,morgan,0
RF+LGBM+SVM,0.702563420096898,0.07634116818544463,0.4984960366340371,morgan,0
RF+ET+SVM,0.7021585224558757,0.07758800706693103,0.5011556680900318,morgan,0
SVM+kNN,0.7019844129485835,0.07594867818720973,0.5020804095037925,morgan,0
LGBM+XGB+kNN,0.6963667568363852,0.07467641927509204,0.507405411567414,morgan,0
RF+XGB+kNN,0.69634727224347,0.0806091412151635,0.499751404832092,morgan,0
ET+LGBM+XGB,0.6925643620238555,0.07257453341382174,0.5170476827747414,morgan,0
ET+XGB+kNN,0.6918564649751191,0.0808412422593662,0.5090221434478163,morgan,0
LGBM+XGB,0.6912886321516449,0.07204798620474998,0.5189964685773004,morgan,0
RF+LGBM+XGB,0.690593336522229,0.07953170655114447,0.5078647028034127,morgan,0
RF+LGBM+kNN,0.6905896673915726,0.07887547346222398,0.506255595309786,morgan,0
XGB+kNN,0.6901120735754993,0.08061770358167807,0.5125659572116892,morgan,0
RF+XGB,0.6893927212977171,0.08123065244241638,0.505478055355009,morgan,0
RF+kNN,0.6890471091703299,0.079051508315855,0.5087285585649579,morgan,0
RF+ET+XGB,0.6873111819663826,0.07941416729328543,0.5122254463988943,morgan,0
RF+ET+kNN,0.6858559579569347,0.0807033328189592,0.5149933407301084,morgan,0
RF+LGBM,0.6851026868372562,0.08033775518721882,0.5125425893090896,morgan,0
ET+LGBM+kNN,0.6835201896184104,0.07359261050219854,0.5202567520762292,morgan,0
XGB,0.6831591823891184,0.08634700592469682,0.5109880428211333,morgan,0
RF+ET+LGBM,0.6823727136795351,0.07752208893070864,0.5206555303731133,morgan,0
RF,0.6802359975776335,0.08237558345915252,0.5123997585162302,morgan,0
LGBM+kNN,0.6796438327024585,0.071054102573425,0.5249640143092954,morgan,0
RF+ET,0.6762850698910865,0.08218591436333612,0.523117133755383,morgan,0
ET+XGB,0.6751852433069011,0.0847738917956157,0.5325753472494259,morgan,0
LGBM,0.6750152098570892,0.067591233672771,0.5299100439783784,morgan,0
ET+LGBM,0.671956709860785,0.07262122069850208,0.536267114490748,morgan,0
ET+kNN,0.6594598165669001,0.08116444908070386,0.5425338191542087,morgan,0
kNN,0.6245290060397959,0.08437270562635404,0.5627836062588016,morgan,0
ET,0.5427589412628084,0.11600094886377632,0.5934539843910065,morgan,0
XGB+SVM,0.7561783521184093,0.047105950238928815,0.4806511870407263,morgan,1
SVM,0.7554197317134672,0.05386604391856466,0.4796227025963019,morgan,1
LGBM+XGB+SVM,0.7554183979526469,0.05284821518123996,0.4795154241085256,morgan,1
ET+XGB+SVM,0.7504852147570704,0.04685985709328391,0.48394684697703383,morgan,1
ET+SVM,0.7492630359301095,0.04925674216417101,0.4859198450534462,morgan,1
LGBM+SVM,0.7492483293432184,0.057733016905613284,0.48568458275186027,morgan,1
ET+LGBM+SVM,0.7486112998442913,0.055456574312551625,0.48705122829053593,morgan,1
XGB+SVM+kNN,0.7476240938485074,0.04837276417283195,0.4882290499134421,morgan,1
RF+LGBM+SVM,0.7463942181264198,0.052260001153696556,0.4847552869423186,morgan,1
RF+XGB+SVM,0.7454699919238488,0.04541968714837722,0.48586996747899736,morgan,1
LGBM+XGB+kNN,0.7447525430518482,0.050800446284819695,0.4918361230149196,morgan,1
LGBM+SVM+kNN,0.7444598455867575,0.05899127674443876,0.48935720224325363,morgan,1
LGBM+XGB,0.7435730347738982,0.04460519577531818,0.49247310129079336,morgan,1
RF+SVM,0.7434247323180506,0.04490118635983104,0.4851678399936425,morgan,1
RF+ET+SVM,0.7432590821476145,0.04560641827084,0.4860254532871019,morgan,1
SVM+kNN,0.7431137930716705,0.0566018577837406,0.49129654562459757,morgan,1
ET+SVM+kNN,0.7420945413120006,0.05365589694259009,0.4905945378624591,morgan,1
RF+LGBM+XGB,0.7413841931660785,0.048067141002860206,0.49099671871774697,morgan,1
